id,game_id,year,team_id,goals,result_id
531,2940,2016,12,5,1
532,3010,2016,12,4,1
533,3028,2016,12,5,1
534,3045,2016,12,0,2
535,3060,2016,12,1,2
536,3092,2016,12,3,1
537,3102,2016,12,1,2
538,3131,2016,12,4,2
539,3144,2016,12,6,1
540,3238,2016,12,1,2
541,3254,2016,12,4,1
542,3270,2016,12,1,2
543,3295,2016,12,4,1
544,3339,2016,12,4,2
545,3353,2016,12,3,2
546,3369,2016,12,5,1
547,3405,2016,12,1,3
548,3420,2016,12,4,2
549,3486,2016,12,1,3
550,3500,2016,12,3,1
551,3513,2016,12,1,2
552,3533,2016,12,7,1
553,3548,2016,12,4,1
554,3562,2016,12,3,2
555,3617,2016,12,1,2
556,3689,2016,12,4,3
557,3703,2016,12,7,1
558,3733,2015,12,2,2
559,3812,2015,12,1,3
560,3825,2015,12,5,1
561,3838,2015,12,1,2
562,3857,2015,12,1,2
563,3880,2015,12,4,1
564,3966,2015,12,5,1
565,3983,2015,12,4,1
566,4003,2015,12,4,4
567,4012,2015,12,3,2
568,4027,2015,12,5,4
569,4095,2015,12,5,1
570,4109,2015,12,4,1
571,4122,2015,12,2,2
572,4186,2015,12,2,2
573,4206,2015,12,1,2
574,4249,2015,12,4,1
575,4264,2015,12,2,1
576,4281,2015,12,4,1
577,4293,2015,12,1,2
578,4327,2015,12,2,2
579,4340,2015,12,5,2
580,4431,2015,12,4,1
581,4443,2015,12,0,2
582,4460,2015,12,4,1
583,4474,2015,12,5,1
584,4488,2015,12,3,1
585,4501,2015,12,0,2
586,4556,2015,12,3,1
587,4570,2015,12,4,1
588,4586,2015,12,2,3
589,4600,2015,12,3,2
590,4731,2015,12,6,1
591,4746,2015,12,6,1
592,4775,2015,12,0,2
593,4786,2015,12,4,1
594,4800,2015,12,2,3
595,4816,2015,12,3,1
596,4830,2015,12,3,2
597,4922,2015,12,3,1
598,4934,2015,12,3,1
599,4994,2014,12,4,3
600,5006,2014,12,3,1
601,5020,2014,12,3,1
602,5117,2014,12,5,1
603,5145,2014,12,2,2
604,5153,2014,12,3,2
605,5226,2014,12,2,3
606,5239,2014,12,3,2
607,5255,2014,12,2,2
608,5284,2014,12,1,3
609,5298,2014,12,4,4
610,5328,2014,12,2,2
611,5380,2014,12,4,1
612,5395,2014,12,2,2
613,5421,2014,12,1,2
614,5434,2014,12,2,1
615,5516,2014,12,4,4
616,5530,2014,12,0,2
617,5548,2014,12,0,2
618,5563,2014,12,1,2
619,5584,2014,12,0,2
620,5623,2014,12,0,2
621,5636,2014,12,1,2
622,5671,2014,12,2,2
623,5717,2014,12,3,1
624,5732,2014,12,5,4
625,5762,2014,12,5,1
626,5775,2014,12,4,1
627,5790,2014,12,4,1
628,5850,2014,12,0,2
629,5899,2014,12,4,1
630,5914,2014,12,4,1
631,5933,2014,12,2,2
632,5949,2014,12,7,1
633,5992,2014,12,3,1
634,6016,2014,12,5,2
635,6038,2014,12,2,4
636,6053,2014,12,2,2
637,6067,2014,12,4,1
638,6155,2014,12,4,4
639,6170,2014,12,3,2
640,6210,2013,12,1,2
641,6217,2013,12,4,2
642,6254,2013,12,4,1
643,6289,2013,12,3,2
644,6305,2013,12,2,2
645,6367,2013,12,1,2
646,6382,2013,12,7,1
647,6392,2013,12,2,2
648,6428,2013,12,1,2
649,6446,2013,12,3,1
650,6457,2013,12,5,1
651,6507,2013,12,4,1
652,6530,2013,12,4,1
653,6582,2013,12,5,1
654,6596,2013,12,6,1
655,6660,2013,12,3,1
656,6683,2013,12,4,1
657,6696,2013,12,4,2
658,6733,2013,12,2,2
659,6786,2013,12,1,2
660,6800,2013,12,3,1
661,6818,2013,12,3,2
662,6835,2013,12,3,1
663,6848,2013,12,3,1
664,6927,2012,12,3,2
665,6986,2012,12,2,1
666,6996,2012,12,2,3
667,7011,2012,12,0,2
668,7037,2012,12,4,1
669,7052,2012,12,3,1
670,7077,2012,12,1,2
671,7118,2012,12,0,2
672,7164,2012,12,1,2
673,7187,2012,12,5,1
674,7262,2012,12,1,1
675,7274,2012,12,3,2
676,7308,2012,12,7,1
677,7322,2012,12,3,1
678,7338,2012,12,3,1
679,7402,2012,12,2,1
680,7415,2012,12,3,1
681,7515,2012,12,3,1
682,7534,2012,12,6,1
683,7547,2012,12,1,1
684,7564,2012,12,1,2
685,7637,2012,12,0,2
686,7653,2012,12,1,2
687,7678,2012,12,3,1
688,7732,2012,12,3,4
689,7755,2012,12,5,1
690,7802,2012,12,1,2
691,7815,2012,12,3,2
692,7830,2012,12,4,2
693,7847,2012,12,1,2
694,7889,2012,12,2,2
695,7900,2012,12,5,1
696,7925,2012,12,5,1
697,7952,2012,12,3,1
698,7968,2012,12,4,1
699,7992,2012,12,1,2
700,8049,2012,12,5,1
701,8065,2012,12,0,2
702,8079,2012,12,1,2
